"member_casual","period","total_rides","avg_duration","share"
"member","AM peak",629336,11.3218643835465,0.169769533439691
"member","PM peak",1042516,12.8464479377783,0.281228874438158
"member","Off-peak",2035150,12.1313250109855,0.549001592122151
"casual","AM peak",205492,17.4136196469103,0.0957896591619966
"casual","PM peak",567860,20.1888474213414,0.264706732387302
"casual","Off-peak",1371890,21.7573857619399,0.639503608450702
