"member_casual","start_month","start_day_of_week","total_rides","share"
"casual","August","Wednesday",34493,0.108625000787297
"casual","August","Thursday",41030,0.12921125394436
"casual","August","Friday",53386,0.168122642044202
"casual","August","Saturday",77452,0.243911041688973
"casual","August","Sunday",52155,0.1642459895069
"casual","September","Monday",51449,0.148764894850524
"casual","September","Tuesday",35177,0.101714371633207
"casual","September","Wednesday",42226,0.122096570389283
"casual","September","Thursday",43892,0.126913812994989
"casual","September","Friday",47362,0.136947325505073
"casual","September","Saturday",61568,0.178024005250968
"casual","September","Sunday",64167,0.185539019375956
"casual","October","Thursday",12,1
"casual","November","Monday",10694,0.115207273980867
"casual","November","Tuesday",10467,0.112761785745066
"casual","November","Wednesday",9961,0.107310609325175
"casual","November","Thursday",8843,0.095266310436956
"casual","November","Friday",16599,0.178822287339481
"casual","November","Saturday",19302,0.207941911574593
"casual","November","Sunday",16958,0.182689821597863
"casual","December","Monday",7076,0.184930611818206
"casual","December","Tuesday",5733,0.149831429840838
"casual","December","Wednesday",4376,0.114366359145911
"casual","December","Thursday",4413,0.115333350756606
"casual","December","Friday",4330,0.113164153359642
"casual","December","Saturday",6228,0.162768209497426
"casual","December","Sunday",6107,0.159605885581371
