"member_casual","avg_duration","median_duration","min_duration","max_duration","sd_duration","total_rides","se","ci_low","ci_high"
"member",12.1950164737142,8.6902999997139,0.00065000057220459,1439.92986666361,20.4724235411201,3707002,0.0106330497937188,12.1741756961185,12.2158572513099
"casual",20.9260952275377,12.0179750005404,0.00084999799728393,1439.9345666647,42.4629001762769,2145242,0.0289915548180694,20.8692717800943,20.9829186749812
